weight_true,max_stress_true,max_disp_true,weight_mean,weight_std,max_stress_mean,max_stress_std,max_disp_mean,max_disp_std
4769.3647,49547.285,4.7483625,4786.1865,256.41013,52828.34,8853.201,4.8666015,0.37370315
7574.731,44879.133,4.422193,7668.7686,119.232414,42734.57,3224.0525,4.252485,0.2096519
7220.9087,17325.883,2.7354946,7246.5933,85.53964,17166.262,1211.6757,2.7770953,0.081060916
7731.595,25611.15,3.1569576,7831.3623,93.30971,24666.6,1606.7666,3.219626,0.10735672
6149.7607,40979.855,4.946972,6169.9336,113.28932,33953.97,3246.166,4.6948137,0.36981747
8562.494,27286.805,3.0075295,8493.892,163.4083,27505.84,1939.5089,3.1071134,0.108474426
7942.068,185493.92,13.711264,7758.918,166.82066,234171.2,76066.68,15.410547,3.9444833
5066.402,49147.242,4.5820284,5083.1426,243.14598,45473.516,3398.9226,4.9053755,0.2694677
5636.5483,25675.86,4.446862,5656.5156,157.6055,27858.66,2508.3809,4.1964016,0.20976745
7178.81,34915.53,3.8348236,7219.201,103.94735,35865.387,2241.9805,3.9147062,0.17732815
7338.205,31540.98,3.4210181,7392.7715,91.16129,30381.682,1921.6516,3.365193,0.12965932
